study_hours,attendance_pct,previous_marks,assignments_done,sleep_hours,internet_hours,final_score,pass_fail
6.25,80.97,70.41,1,4.34,5.53,70.36,1
1.7,73.17,90.59,0,8.6,5.29,66.96,1
9.77,68.99,98.65,5,8.21,0.31,100.0,1
9.88,93.17,58.53,8,5.99,2.95,100.0,1
7.28,75.95,87.93,2,8.05,7.83,82.1,1
5.82,73.96,83.52,5,6.38,3.37,94.04,1
3.79,51.28,70.15,2,8.54,4.02,69.58,1
8.32,67.06,96.92,0,6.73,7.28,91.51,1
7.16,69.01,44.03,4,6.47,5.74,74.99,1
2.46,69.94,37.65,9,9.61,4.66,77.01,1
9.2,79.01,89.78,10,5.51,6.38,100.0,1
8.4,76.68,60.74,3,4.72,6.91,76.53,1
9.55,80.4,89.29,6,7.51,3.66,100.0,1
7.53,88.24,92.52,5,9.82,3.8,100.0,1
6.52,90.65,34.37,9,6.27,3.09,84.19,1
4.76,85.91,91.84,6,4.37,7.73,77.24,1
9.39,97.78,61.38,4,6.04,5.58,93.58,1
8.79,50.91,65.73,3,7.04,0.67,80.56,1
1.41,59.79,73.86,6,4.97,6.9,64.61,1
1.24,50.38,94.85,6,7.95,3.84,77.43,1
4.39,82.37,31.34,5,9.99,0.55,61.17,1
8.29,94.9,63.38,7,6.71,4.4,96.9,1
9.89,62.17,78.14,3,6.13,3.34,98.63,1
2.35,96.35,80.59,9,6.4,7.02,82.61,1
6.35,53.01,78.48,4,4.69,1.63,83.15,1
4.43,96.72,39.41,3,9.3,6.61,71.08,1
9.73,67.58,50.96,0,6.49,4.46,79.74,1
8.58,55.07,55.11,7,6.32,0.44,84.89,1
8.54,74.29,86.31,0,7.96,7.77,82.41,1
5.22,62.84,49.51,4,6.65,4.1,61.19,1
4.73,64.24,44.75,5,7.89,2.33,71.93,1
3.46,65.36,97.02,5,4.37,3.76,79.61,1
1.51,90.15,30.62,4,8.88,6.86,53.67,1
8.78,76.96,99.85,2,9.64,2.44,100.0,1
8.32,65.57,77.38,4,7.89,1.54,92.13,1
10.0,80.52,87.99,7,9.73,1.03,100.0,1
9.97,85.81,50.62,1,4.91,2.38,84.22,1
6.0,63.63,31.0,5,6.86,6.24,55.28,1
7.92,70.68,81.65,8,7.61,3.77,100.0,1
9.5,56.09,88.39,7,7.49,1.82,100.0,1
8.65,59.06,81.83,10,6.41,1.33,100.0,1
3.23,84.06,40.0,7,6.03,2.66,75.62,1
5.05,59.07,82.74,7,4.76,7.52,77.1,1
2.16,76.26,83.82,6,6.35,2.74,79.3,1
9.59,85.45,76.1,7,4.98,7.9,92.3,1
6.46,55.34,83.63,5,8.41,3.88,85.26,1
3.06,78.37,89.21,1,5.25,1.43,79.32,1
7.05,62.83,72.95,1,4.35,7.13,64.5,1
6.56,98.15,36.2,7,7.31,3.68,83.49,1
4.22,74.18,64.13,10,7.57,5.68,81.6,1
2.02,90.3,35.44,0,9.23,7.87,51.76,1
7.04,77.51,58.53,5,7.46,0.4,92.56,1
5.68,52.17,58.5,5,6.07,0.77,74.63,1
7.95,81.66,34.62,10,8.82,5.76,93.38,1
5.68,97.57,54.42,3,7.24,2.25,76.89,1
8.67,80.08,37.77,10,4.48,1.47,89.05,1
5.97,90.96,86.58,10,7.4,0.31,100.0,1
6.05,94.21,96.34,9,9.45,0.17,100.0,1
8.89,61.4,35.06,2,6.38,6.2,72.8,1
4.63,60.6,96.86,10,5.78,1.08,100.0,1
2.21,80.55,66.58,2,4.86,3.74,63.52,1
1.26,70.55,50.97,0,4.91,4.85,49.53,1
7.8,91.99,35.38,2,6.6,3.43,76.95,1
6.58,95.0,65.04,3,7.57,0.22,87.36,1
7.34,67.67,85.62,10,4.48,6.27,85.23,1
2.92,61.84,79.5,10,9.64,0.08,83.51,1
2.23,89.03,33.52,4,8.53,6.1,51.09,1
1.13,63.74,35.1,2,7.52,7.15,50.52,1
4.16,91.13,58.2,5,8.97,3.46,79.39,1
6.31,71.19,50.67,10,4.48,4.28,78.07,1
4.53,83.38,46.27,4,6.86,3.82,74.24,1
4.94,54.78,49.67,2,7.78,3.11,57.2,1
9.14,81.19,86.24,5,8.97,7.1,98.17,1
4.13,72.59,95.05,5,8.7,7.15,85.39,1
5.63,79.33,58.36,7,5.66,2.69,86.58,1
8.05,58.4,93.43,1,9.65,4.92,93.74,1
4.57,86.84,52.5,0,4.75,7.42,62.57,1
6.6,93.14,63.35,3,9.25,7.7,84.67,1
8.76,60.84,45.82,6,9.83,4.07,85.96,1
9.55,54.79,74.83,10,5.06,3.62,98.24,1
2.32,51.18,98.53,9,8.33,2.23,79.02,1
9.34,82.1,72.24,2,4.24,7.67,86.86,1
5.43,80.35,55.05,2,6.43,1.14,69.33,1
3.32,77.33,75.35,4,7.1,4.64,75.26,1
5.13,61.6,38.6,4,7.48,2.26,62.2,1
9.82,69.55,92.21,9,9.62,2.23,100.0,1
5.43,79.72,65.22,2,8.03,3.24,78.22,1
3.96,74.84,61.45,8,6.89,7.99,66.14,1
6.7,99.39,71.01,3,8.86,0.44,95.69,1
3.16,56.82,73.73,2,9.7,4.63,70.22,1
1.68,84.76,35.02,10,4.13,0.66,72.99,1
2.16,70.22,77.78,1,9.9,1.24,68.93,1
2.15,71.41,46.94,9,4.52,3.52,55.22,1
2.37,85.88,79.98,10,8.89,4.08,91.7,1
2.25,84.62,87.58,8,5.68,2.07,78.14,1
6.77,99.56,86.28,3,4.79,2.53,93.61,1
2.64,56.42,68.68,2,6.64,0.7,62.61,1
4.11,55.21,66.41,6,7.86,2.43,73.18,1
9.07,86.22,40.0,7,6.29,7.73,87.37,1
5.27,78.92,84.27,10,4.33,7.56,85.03,1
7.01,63.71,49.0,1,7.6,2.68,69.81,1
2.55,53.97,64.77,6,9.41,4.57,66.69,1
2.73,54.28,49.9,4,6.3,7.28,52.83,1
1.37,94.71,39.37,10,5.3,0.05,70.74,1
2.52,59.59,74.07,4,6.66,6.49,66.01,1
3.51,66.17,33.8,2,4.29,7.59,50.43,1
2.59,61.33,82.41,4,8.92,0.73,78.38,1
1.8,67.75,52.23,1,8.96,1.29,60.74,1
2.09,53.47,30.01,3,7.53,7.69,33.28,0
5.15,75.95,65.78,5,6.12,4.3,77.91,1
2.86,53.38,33.28,0,8.8,0.11,52.17,1
4.28,90.02,49.33,9,7.33,2.06,85.59,1
5.53,61.69,79.49,3,8.96,3.6,77.84,1
7.21,77.0,34.39,5,7.79,5.54,70.11,1
1.35,94.0,88.75,8,8.71,5.87,82.15,1
8.19,82.54,30.27,10,7.59,7.96,84.38,1
6.65,76.65,47.28,10,6.48,2.3,90.84,1
1.74,66.22,81.86,1,9.75,4.31,65.54,1
8.86,66.65,52.14,10,7.25,4.27,95.84,1
9.29,83.47,37.13,6,7.63,3.25,87.93,1
1.55,99.71,55.22,5,5.32,1.35,69.34,1
3.49,83.09,48.93,1,7.75,7.82,58.65,1
8.26,77.89,88.99,7,7.43,6.83,100.0,1
7.73,86.53,51.93,6,5.11,3.99,86.58,1
2.66,73.26,85.23,10,4.36,4.83,92.16,1
2.88,53.01,92.43,4,7.63,1.82,72.04,1
4.33,78.11,60.37,4,8.58,4.35,77.29,1
5.36,97.88,93.7,6,7.14,5.56,94.97,1
6.56,58.77,56.41,8,5.36,4.12,73.13,1
4.32,84.5,97.49,10,8.0,7.92,96.09,1
5.16,60.05,36.25,8,4.48,4.89,63.76,1
7.73,76.79,78.09,8,6.65,2.97,100.0,1
1.33,54.83,64.57,5,4.98,6.18,53.31,1
3.27,72.52,57.14,9,5.11,1.36,68.68,1
7.42,87.81,74.29,5,5.21,3.08,94.07,1
9.06,67.38,79.27,2,6.32,2.78,81.06,1
5.61,83.25,30.31,0,4.31,3.45,57.97,1
5.79,89.77,41.69,6,6.39,6.25,74.36,1
1.96,96.36,79.91,3,7.07,3.87,80.83,1
5.03,61.73,76.65,0,6.9,6.35,73.57,1
5.79,69.97,97.62,7,6.3,4.61,91.24,1
3.18,57.62,83.27,5,9.03,2.74,76.59,1
3.42,99.62,96.55,5,4.87,6.48,83.53,1
4.4,96.35,79.18,1,7.03,1.91,78.35,1
1.18,77.0,50.86,0,4.37,1.8,52.58,1
3.9,92.1,37.38,1,4.43,4.04,52.63,1
2.9,76.05,84.73,3,7.44,2.09,76.14,1
3.95,81.18,75.09,1,7.4,0.07,73.53,1
2.08,54.46,33.37,0,9.27,5.19,45.64,1
9.01,87.76,55.2,6,7.35,4.09,100.0,1
6.34,56.39,96.98,10,9.76,3.56,94.54,1
7.11,91.3,65.03,10,4.29,7.74,81.44,1
8.1,89.1,60.29,7,4.59,4.57,90.02,1
5.49,85.44,62.04,5,4.26,6.91,75.44,1
1.78,51.81,44.62,3,5.11,1.12,50.24,1
5.83,65.16,55.81,5,7.25,4.55,71.7,1
6.28,63.16,55.89,2,7.87,6.94,67.79,1
7.71,68.01,33.66,7,4.27,4.66,73.65,1
4.88,54.38,83.73,9,9.68,5.74,91.47,1
2.15,96.85,59.16,1,9.05,2.98,59.85,1
3.55,77.69,87.55,4,5.78,0.74,81.12,1
4.27,65.28,89.52,0,4.46,3.66,73.09,1
6.81,69.85,44.84,5,5.02,3.16,68.51,1
6.14,72.36,76.01,1,4.76,6.94,82.53,1
4.2,80.03,63.06,3,4.74,1.95,69.01,1
9.88,75.78,91.61,5,7.11,7.73,100.0,1
6.45,95.97,45.1,9,5.48,7.67,84.6,1
3.14,74.85,77.45,10,6.15,1.98,81.85,1
1.92,99.61,72.54,7,9.94,2.78,76.01,1
2.38,92.57,50.67,7,8.11,7.16,67.27,1
3.21,60.43,39.56,10,9.69,7.73,69.25,1
2.45,96.53,75.61,5,4.86,3.55,75.86,1
2.68,55.82,81.7,3,6.29,2.57,64.05,1
3.57,90.87,52.09,7,7.33,4.21,80.29,1
2.56,69.03,75.14,7,4.46,5.5,68.42,1
9.07,93.9,57.66,9,4.03,2.19,96.57,1
1.72,93.4,79.92,0,8.02,5.89,70.5,1
5.72,90.3,43.95,3,7.85,0.41,82.05,1
4.69,89.5,92.32,3,6.46,0.39,100.0,1
9.84,65.23,50.12,6,6.94,3.09,92.43,1
2.01,54.05,55.75,10,6.49,2.83,71.3,1
4.58,70.15,34.07,6,4.14,2.53,59.62,1
9.73,58.68,37.81,10,6.01,3.93,79.92,1
8.79,84.75,66.11,7,5.06,2.57,96.95,1
8.35,67.3,48.73,10,4.59,1.54,88.43,1
3.32,98.78,88.48,4,9.74,2.48,86.47,1
2.54,82.05,31.03,6,7.6,7.8,55.35,1
7.02,91.12,56.54,7,8.37,3.29,93.77,1
9.36,56.63,53.61,8,5.89,3.56,88.52,1
6.01,93.1,31.35,2,6.36,4.61,70.05,1
6.14,96.14,38.71,2,5.42,7.87,68.92,1
3.52,74.35,58.95,3,4.58,1.93,63.74,1
7.93,80.31,64.5,4,5.07,5.45,81.7,1
2.68,88.24,58.3,9,8.79,5.73,71.5,1
3.91,58.74,67.17,0,8.07,4.86,71.93,1
4.83,75.13,71.66,6,7.28,0.71,85.2,1
5.57,69.93,30.69,8,6.85,5.41,66.43,1
3.18,57.32,62.49,7,9.53,0.51,70.11,1
2.03,68.38,97.44,4,4.44,4.77,87.84,1
6.5,53.41,66.33,3,5.68,5.92,65.33,1
3.6,51.29,77.43,6,6.1,1.69,71.44,1
6.23,56.76,51.83,4,8.69,6.73,71.35,1
2.39,98.16,84.18,6,9.96,0.24,95.19,1
5.33,77.48,84.1,0,5.44,6.75,80.11,1
5.79,98.29,66.49,0,9.25,3.68,92.81,1
1.47,71.62,98.32,9,8.98,1.74,91.02,1
4.03,65.59,38.79,2,5.35,1.07,52.36,1
2.21,75.31,31.19,10,6.4,7.63,56.56,1
1.57,71.98,83.91,1,6.46,0.58,70.86,1
9.91,55.28,86.5,1,9.87,1.59,100.0,1
3.9,82.04,38.41,6,5.09,2.78,58.96,1
8.29,60.8,48.59,9,8.79,4.96,91.79,1
3.29,80.98,31.23,1,6.01,4.36,53.55,1
7.13,82.51,50.53,10,8.39,1.01,98.18,1
7.84,57.6,84.12,3,6.52,2.32,87.87,1
6.36,53.07,66.26,1,7.47,1.91,69.03,1
5.24,89.04,54.37,5,9.0,1.71,87.15,1
4.71,72.99,56.02,7,8.82,3.29,81.85,1
4.14,52.91,30.09,9,9.2,5.63,66.17,1
9.37,99.74,50.99,3,4.36,1.74,91.02,1
8.48,52.89,75.25,4,8.15,2.93,85.48,1
9.69,84.75,98.19,3,4.84,3.13,97.99,1
2.12,99.18,89.29,2,6.49,7.81,79.97,1
7.58,61.96,31.65,4,7.29,7.64,67.0,1
9.45,57.11,92.9,8,6.42,6.4,95.82,1
2.63,56.07,84.82,7,7.12,1.93,74.37,1
1.6,65.16,84.63,7,9.98,0.54,78.59,1
7.67,55.05,62.06,7,4.81,2.54,74.51,1
6.17,84.61,57.86,7,8.05,2.13,84.06,1
8.58,53.11,51.2,6,6.38,4.05,73.37,1
2.26,75.47,34.6,7,4.8,6.22,52.36,1
8.16,99.83,45.98,10,4.95,6.87,87.27,1
2.81,90.7,47.26,7,9.7,6.76,63.21,1
2.47,80.76,63.89,7,9.28,2.88,87.31,1
2.48,65.31,82.32,9,9.44,5.5,86.79,1
8.33,81.19,63.17,6,9.95,2.5,93.33,1
6.99,76.35,34.05,0,5.25,0.49,68.15,1
5.71,71.3,97.05,3,6.13,5.61,88.52,1
4.23,56.54,95.99,3,8.02,0.08,90.16,1
8.89,94.33,84.96,4,6.9,3.27,100.0,1
4.53,72.49,99.39,9,6.51,2.64,100.0,1
8.35,59.73,68.11,5,6.15,5.55,80.98,1
4.95,68.39,97.39,3,7.56,6.13,77.57,1
4.39,70.71,35.29,1,7.45,2.43,62.33,1
5.16,91.38,55.6,5,4.97,6.49,81.15,1
3.71,86.68,45.78,7,6.83,2.35,86.59,1
7.73,88.47,43.71,7,7.32,3.57,80.79,1
5.52,50.55,39.86,6,7.42,5.82,66.03,1
3.09,70.81,73.57,5,5.26,5.54,67.7,1
9.1,74.07,84.69,1,8.45,7.9,95.6,1
4.46,50.96,70.48,6,4.15,1.8,63.9,1
5.89,62.99,40.29,10,6.13,5.3,66.38,1
9.16,88.01,86.78,4,8.68,4.88,100.0,1
6.62,56.86,74.52,5,7.38,7.32,79.46,1
2.05,76.77,57.17,9,5.57,1.25,68.8,1
9.46,60.76,77.19,7,8.17,6.01,99.79,1
6.65,50.61,48.19,7,7.4,4.55,77.71,1
4.01,62.06,54.16,2,8.78,2.2,68.67,1
2.25,98.79,94.22,6,8.41,3.8,98.61,1
8.15,90.08,50.34,0,7.66,2.67,84.27,1
6.58,97.98,62.9,0,6.93,4.63,75.18,1
5.8,74.39,92.31,6,4.8,7.11,94.01,1
9.05,55.49,79.54,9,5.57,4.55,92.72,1
8.1,77.4,34.35,8,6.51,5.05,84.62,1
2.37,72.72,40.31,6,7.6,4.15,68.05,1
3.81,92.22,30.55,9,7.08,0.41,77.08,1
3.24,54.9,74.16,4,5.73,1.86,61.0,1
7.7,74.41,61.34,7,4.04,3.94,80.61,1
1.3,57.5,39.4,1,6.98,2.48,51.57,1
6.13,66.23,97.06,8,5.71,1.45,96.7,1
7.86,86.87,67.08,5,8.41,4.03,94.36,1
8.89,73.8,46.93,8,4.14,2.58,90.22,1
4.08,68.79,65.04,1,7.51,2.06,72.86,1
8.39,69.72,77.57,2,9.65,3.71,93.58,1
2.0,72.97,35.34,7,5.05,1.07,57.46,1
8.62,89.25,49.23,0,6.83,7.42,75.84,1
2.15,94.6,86.49,9,4.55,6.94,86.8,1
4.58,97.77,62.18,6,7.75,5.66,85.63,1
8.18,89.35,68.26,6,7.3,0.85,98.35,1
2.35,65.77,60.3,0,6.44,6.21,59.01,1
3.06,84.41,33.07,8,7.13,6.46,62.72,1
7.5,71.88,41.6,7,9.38,6.14,75.81,1
7.48,62.73,61.19,3,5.18,0.91,75.48,1
6.77,92.04,44.64,9,4.14,5.15,77.58,1
7.25,51.92,33.5,10,9.17,6.67,72.3,1
5.88,95.09,89.06,4,7.46,4.62,100.0,1
3.27,73.07,98.68,1,9.34,5.17,76.34,1
4.11,81.86,85.52,8,7.58,3.67,91.53,1
2.63,82.97,89.76,5,8.86,4.23,80.64,1
9.18,94.76,46.94,2,6.58,0.28,88.64,1
6.25,81.83,97.24,6,8.5,5.11,91.86,1
4.61,80.7,43.78,8,9.48,0.65,79.47,1
5.16,53.33,96.6,2,7.43,3.48,80.16,1
9.53,75.92,99.64,1,5.08,2.34,100.0,1
2.38,57.51,79.82,6,5.61,4.36,70.0,1
6.28,86.87,98.68,6,5.19,1.07,95.67,1
5.55,75.61,69.87,3,5.48,5.53,81.03,1
6.5,84.01,48.17,10,5.84,6.36,83.93,1
1.16,52.08,60.59,8,7.33,1.31,64.41,1
8.85,54.24,71.55,7,7.53,0.83,94.52,1
9.39,85.82,35.12,0,6.56,1.16,76.77,1
6.09,53.6,73.56,0,7.69,7.02,70.11,1
7.27,53.56,98.68,4,4.49,4.23,90.53,1
9.3,50.61,43.31,5,4.53,3.74,65.52,1
7.37,97.83,85.48,2,5.03,0.85,94.81,1
2.37,86.88,93.55,8,7.11,5.2,85.85,1
6.19,67.66,96.06,9,5.28,6.94,94.55,1
6.46,64.83,97.21,5,5.7,6.63,94.62,1
4.82,67.49,66.5,3,6.4,5.01,67.02,1
7.63,88.73,98.41,6,8.87,0.6,100.0,1
9.41,83.07,83.01,7,4.08,0.9,100.0,1
9.33,59.26,41.32,8,7.9,0.39,84.03,1
5.06,58.71,63.38,10,8.01,2.06,81.49,1
2.02,54.92,80.28,5,8.79,1.09,76.48,1
9.86,83.02,47.31,5,9.6,2.08,90.02,1
8.55,88.22,74.84,7,4.12,3.08,100.0,1
2.12,63.25,76.66,4,4.92,7.54,52.92,1
9.29,51.05,41.39,2,9.32,4.88,70.87,1
8.83,54.11,69.56,2,6.75,6.68,77.73,1
5.67,98.39,84.01,5,7.39,5.68,100.0,1
6.32,64.77,64.92,1,7.98,0.9,76.33,1
4.59,88.46,30.85,5,8.07,5.89,55.24,1
1.49,81.23,30.63,5,9.59,2.2,48.66,1
4.02,69.1,54.99,7,9.98,5.11,74.32,1
8.23,60.28,94.83,6,8.32,2.73,100.0,1
1.04,56.07,46.01,7,5.72,7.98,50.13,1
4.0,80.75,74.41,8,9.28,2.11,89.86,1
4.58,88.73,45.55,5,4.3,2.23,77.11,1
5.84,82.2,52.52,2,5.39,7.45,65.41,1
9.28,76.52,89.36,9,9.38,0.2,100.0,1
4.12,52.1,81.02,2,5.54,5.57,58.36,1
4.12,98.42,36.68,10,5.32,5.8,69.69,1
7.64,89.94,60.01,0,4.83,6.69,67.78,1
5.07,64.64,32.04,10,9.15,7.8,66.77,1
3.02,99.0,63.66,4,7.0,7.8,72.1,1
5.07,80.09,76.37,3,8.05,0.52,86.54,1
2.27,79.12,38.3,8,5.43,6.57,59.25,1
2.59,87.4,50.22,8,8.55,5.17,67.82,1
5.49,90.59,57.85,4,8.56,5.18,79.66,1
4.77,82.82,94.37,9,5.88,1.03,91.33,1
9.23,56.4,99.53,3,6.46,5.2,100.0,1
4.26,66.91,33.14,6,5.26,7.86,54.18,1
6.23,96.4,83.27,5,9.86,7.29,93.61,1
6.69,61.23,56.02,3,7.87,3.51,82.57,1
1.12,68.61,57.47,9,9.61,0.32,65.98,1
6.97,71.6,82.8,1,5.82,2.9,78.96,1
2.6,71.97,94.29,0,8.69,6.61,66.75,1
9.65,80.65,96.57,3,8.6,5.61,100.0,1
2.34,97.15,70.4,3,8.15,3.67,78.25,1
4.73,62.03,55.0,0,9.79,0.44,72.18,1
1.77,56.08,85.13,5,6.36,3.42,81.64,1
9.97,59.87,47.57,3,4.78,3.75,67.13,1
5.52,94.35,69.49,0,8.03,7.43,80.67,1
6.36,82.29,55.1,0,8.38,5.13,71.12,1
1.6,64.3,75.96,0,7.45,2.49,58.8,1
7.75,90.8,46.83,7,5.24,4.2,82.58,1
2.89,93.07,43.41,9,7.03,0.53,72.26,1
9.08,92.33,94.28,7,5.87,7.78,100.0,1
2.85,95.95,37.13,1,6.56,2.88,64.31,1
2.72,62.61,65.42,10,7.87,3.82,75.2,1
1.33,87.75,45.46,6,8.47,2.84,72.24,1
5.25,73.03,32.73,7,5.39,5.46,57.32,1
6.08,92.1,32.52,7,6.43,5.3,68.2,1
1.59,86.42,42.27,10,5.61,5.72,53.53,1
7.98,88.82,90.67,9,5.19,2.15,100.0,1
5.08,82.81,49.77,10,8.7,2.53,86.25,1
5.72,58.87,96.53,6,9.46,1.0,96.15,1
4.97,77.25,70.71,4,6.22,5.24,77.81,1
4.61,99.23,60.56,0,8.51,0.32,72.95,1
6.04,96.87,70.61,8,9.38,4.78,100.0,1
2.4,52.16,66.17,6,9.08,6.96,64.64,1
2.64,58.24,83.11,1,5.1,7.13,64.1,1
8.76,56.59,49.77,5,9.74,3.59,73.66,1
9.52,86.3,54.71,1,6.26,3.67,87.97,1
4.36,90.89,92.59,0,6.04,0.62,80.25,1
3.44,60.68,96.25,6,4.37,5.37,75.63,1
6.8,75.29,92.48,1,6.92,6.57,89.27,1
4.68,92.04,59.36,1,4.65,1.96,73.31,1
1.23,86.64,84.63,10,5.49,3.37,78.1,1
2.41,77.11,63.34,4,5.9,6.71,63.29,1
7.44,79.52,64.83,4,8.85,7.02,77.79,1
6.93,75.42,44.33,6,9.25,1.95,88.52,1
1.24,64.88,71.38,0,5.81,4.4,53.92,1
3.0,78.25,43.03,7,9.15,1.54,76.71,1
3.08,84.44,53.21,2,9.14,0.82,67.92,1
7.05,93.67,89.85,3,8.59,7.29,93.6,1
1.18,81.81,44.5,8,4.88,6.56,53.93,1
1.94,88.06,34.98,3,8.14,6.08,59.76,1
8.2,58.0,34.83,9,9.67,0.39,81.2,1
2.61,73.08,95.85,4,8.1,6.75,81.58,1
6.87,50.47,65.48,6,5.99,3.5,76.17,1
3.14,62.33,58.66,3,7.0,2.74,53.45,1
1.89,86.32,86.76,0,7.87,4.37,69.46,1
3.19,99.59,88.51,8,7.06,0.73,90.29,1
7.5,54.96,53.25,3,4.72,6.05,68.32,1
8.7,70.07,78.55,8,5.87,4.66,91.33,1
8.47,90.0,83.98,5,8.81,1.49,100.0,1
4.57,60.2,75.83,0,9.17,1.51,73.44,1
7.01,77.75,40.61,2,4.82,1.47,70.54,1
2.84,86.65,91.31,10,9.71,0.46,100.0,1
3.64,80.8,67.74,1,5.97,4.7,72.85,1
9.07,59.4,49.77,8,7.97,6.72,84.21,1
1.12,67.77,59.77,0,8.51,0.14,54.36,1
1.77,89.19,32.63,8,8.87,0.39,59.39,1
2.87,77.71,38.95,8,9.67,4.58,64.54,1
1.24,50.26,83.59,7,5.88,6.56,60.76,1
2.63,88.05,30.0,7,9.15,2.61,67.03,1
6.25,51.77,59.16,10,4.79,2.8,77.28,1
4.79,87.29,66.58,0,8.23,4.77,78.14,1
9.03,60.12,33.82,10,8.45,2.19,83.07,1
8.36,97.9,98.12,7,8.07,0.21,100.0,1
4.08,68.4,45.83,9,5.51,5.88,73.27,1
3.33,66.35,51.29,2,9.24,5.01,62.88,1
4.42,57.44,51.28,10,5.01,4.65,69.27,1
6.31,65.28,46.13,6,4.32,5.93,65.37,1
3.41,93.83,30.1,10,8.3,5.4,68.53,1
6.62,99.82,81.05,0,6.85,1.65,87.85,1
4.68,68.42,97.68,0,9.09,2.82,81.38,1
5.97,72.43,45.7,9,6.3,1.01,84.73,1
4.93,86.1,76.41,4,5.01,1.04,83.5,1
3.65,94.31,81.93,4,9.02,5.41,78.51,1
9.54,79.65,89.39,7,7.29,6.87,100.0,1
7.87,69.58,59.58,6,5.14,7.7,81.32,1
2.26,70.63,51.21,7,8.32,5.03,58.01,1
8.82,84.78,52.77,5,7.07,1.47,89.7,1
5.39,50.16,79.88,5,7.63,0.85,82.22,1
9.05,80.98,87.17,1,6.77,6.5,100.0,1
8.2,67.77,42.71,5,8.97,4.63,74.21,1
4.83,89.71,55.97,4,8.98,4.95,82.9,1
1.2,54.65,93.14,2,8.26,6.25,71.51,1
3.42,79.41,86.47,5,4.63,5.63,74.66,1
5.87,74.05,98.94,7,9.03,6.68,95.63,1
6.7,82.12,82.8,8,8.03,0.45,97.21,1
3.32,53.24,57.52,0,8.18,5.98,53.43,1
2.25,79.0,71.34,2,6.18,6.81,63.55,1
8.51,78.07,76.27,2,9.28,2.29,98.87,1
9.86,78.03,35.49,10,8.35,5.12,97.47,1
5.73,80.17,68.11,7,4.68,2.51,81.21,1
2.55,83.82,79.65,0,6.45,7.66,56.15,1
3.45,90.25,41.71,4,9.32,0.27,72.65,1
1.17,63.49,84.64,2,4.28,4.64,61.95,1
9.23,91.25,70.86,1,9.77,1.33,100.0,1
2.06,74.91,96.66,7,8.07,5.7,81.2,1
6.19,53.85,32.97,2,7.79,1.41,62.57,1
3.47,52.93,48.57,6,5.62,1.88,68.88,1
5.99,66.71,72.11,10,5.49,3.95,89.36,1
6.86,89.24,50.76,0,9.65,7.32,73.49,1
8.47,85.38,80.01,5,5.79,1.69,97.51,1
2.86,89.43,83.13,2,8.65,1.15,81.46,1
1.1,75.86,37.18,7,6.36,6.07,61.72,1
2.23,72.01,65.97,5,4.84,4.0,64.18,1
9.1,57.37,65.62,1,4.06,7.29,74.3,1
8.87,66.41,55.85,5,7.27,1.17,85.92,1
6.38,71.7,95.3,6,9.85,5.17,100.0,1
6.4,54.43,87.93,4,6.21,1.86,95.31,1
6.99,61.03,78.8,2,6.14,1.25,85.65,1
2.58,79.91,80.0,3,6.06,5.47,71.72,1
9.23,86.78,62.32,3,7.12,4.75,91.75,1
4.77,99.92,94.47,5,6.64,6.04,81.97,1
4.45,96.66,78.62,9,9.28,2.48,100.0,1
5.67,82.13,81.03,0,7.03,3.58,82.42,1
1.42,71.06,90.32,10,7.05,3.24,84.78,1
2.5,81.81,49.19,3,4.83,7.87,51.82,1
7.64,89.28,86.49,9,9.9,2.34,100.0,1
1.75,55.92,43.67,3,5.5,2.36,47.04,1
6.43,70.5,54.17,9,4.44,2.84,86.42,1
3.21,91.99,53.49,0,7.98,4.52,63.39,1
4.5,69.19,98.5,8,7.57,2.02,100.0,1
3.6,78.59,89.96,3,6.49,7.32,79.28,1
4.2,79.39,79.08,6,6.53,2.13,78.49,1
7.47,59.22,80.89,2,8.71,7.17,81.92,1
3.67,68.11,69.35,9,5.17,0.83,76.65,1
6.1,66.73,96.3,2,8.92,5.25,77.36,1
5.28,51.31,64.74,7,7.89,7.26,80.5,1
6.97,51.21,56.64,7,6.51,1.35,82.91,1
9.43,91.58,41.41,10,6.75,7.75,95.07,1
7.59,63.65,85.03,0,5.54,3.62,83.54,1
2.93,75.9,81.41,9,8.51,7.57,74.85,1
1.28,64.94,56.9,1,7.08,5.41,48.89,1
3.36,97.03,31.76,7,5.93,2.41,72.98,1
6.36,62.96,88.73,0,7.58,1.51,78.96,1
1.46,71.48,30.8,7,9.97,2.43,46.27,1
5.47,93.64,79.26,7,6.61,0.74,95.48,1
6.37,92.1,97.92,1,9.52,1.15,100.0,1
4.01,59.31,60.64,3,6.07,0.84,67.7,1
7.94,90.13,46.45,5,4.33,3.38,86.36,1
1.96,72.91,79.34,10,5.23,6.36,78.56,1
1.68,74.15,87.2,8,6.51,1.13,82.97,1
7.55,56.67,68.25,7,5.32,1.04,92.56,1
5.46,54.03,97.69,7,4.0,5.15,76.95,1
7.2,86.4,33.62,6,9.49,1.58,85.88,1
4.91,74.82,65.34,8,9.06,0.78,91.01,1
3.22,71.84,80.29,1,8.45,1.33,69.04,1
8.37,86.48,90.38,2,5.01,7.39,85.5,1
8.19,88.28,42.55,9,4.72,6.57,81.05,1
7.25,57.95,86.0,7,4.41,2.83,86.81,1
3.45,80.51,68.69,5,8.34,5.25,79.74,1
6.31,56.77,57.76,9,9.57,4.3,79.84,1
